Destination,Type,Latitude,Longitude,Flight_Cost_Per_Person,Hotel_Cost_Per_Night,Daily_Expenses_Per_Person,Image_URL
Goa,Domestic,15.2993,74.1240,4000,3500,1500,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=500
Manali,Domestic,32.2432,77.1892,4500,3200,1100,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=500
Jaipur,Domestic,26.9124,75.7873,3500,3000,1200,https://images.unsplash.com/photo-1477587458883-47145ed94245?w=500
Kerala,Domestic,10.8505,76.2711,4000,3200,1200,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?w=500
Udaipur,Domestic,24.5854,73.7125,3800,4000,1500,https://images.unsplash.com/photo-1615836245337-f5b9b2303f10?w=500
Shimla,Domestic,31.1048,77.1734,3000,2800,1000,https://images.unsplash.com/photo-1562670108-a5b6c28f9d0c?w=500
Andaman,Domestic,11.7401,92.6586,9000,4500,1800,https://images.unsplash.com/photo-1589308078059-be1415eab4c3?w=500
Leh Ladakh,Domestic,34.1526,77.5771,7000,3500,1400,https://images.unsplash.com/photo-1593181629936-11c609b8db9b?w=500
Srinagar,Domestic,34.0837,74.7973,6000,3800,1300,https://images.unsplash.com/photo-1595815771614-ade9d652a65d?w=500
Varanasi,Domestic,25.3176,82.9739,3000,2200,800,https://images.unsplash.com/photo-1561361513-2d000a50f0dc?w=500
Munnar,Domestic,10.0889,77.0595,3500,2800,1000,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?w=500
Coorg,Domestic,12.3375,75.8069,3200,3000,1100,https://images.unsplash.com/photo-1598970434795-0c54fe7c0648?w=500
Maldives,International,3.2028,73.2207,25000,18000,6000,https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=500
Valencia,International,39.4699,-0.3763,38000,9500,3800,https://images.unsplash.com/photo-1561037404-61cd46aa615b?w=500
Lisbon,International,38.7223,-9.1393,36000,9000,3500,https://images.unsplash.com/photo-1503899036084-c55cdd92da26?w=500
Paris,International,48.8566,2.3522,42000,14000,5500,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=500
Copenhagen,International,55.6761,12.5683,45000,16000,6000,https://images.unsplash.com/photo-1513622470522-26c3c8a854bc?w=500
Bali,International,-8.4095,115.1889,22000,6000,2200,https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=500
Tokyo,International,35.6762,139.6503,48000,13000,5000,https://images.unsplash.com/photo-1503899036084-c55cdd92da26?w=500
Dubai,International,25.2048,55.2708,20000,11000,5000,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=500
Singapore,International,1.3521,103.8198,24000,15000,5500,https://images.unsplash.com/photo-1525625293386-3f8f99389edd?w=500
Bangkok,International,13.7563,100.5018,16000,5000,2500,https://images.unsplash.com/photo-1508009603885-50cf7c579365?w=500
London,International,51.5074,-0.1278,52000,18000,6500,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=500
Rome,International,41.9028,12.4964,40000,12500,4800,https://images.unsplash.com/photo-1552832230-c0197dd311b5?w=500
Istanbul,International,41.0082,28.9784,30000,8000,3200,https://images.unsplash.com/photo-1524231757912-21f4fe3a7200?w=500
